State,City,%medianIncome,%highSchoolAbove25,%belowPoverty,%White,%Black,%NativeAmerican,%Asian,%Hispanic,ID
GA,Woodville city,34643,74.3,31.1,29.3,68.8,0,0.3,1.2,CS5151
GA,Woolsey town,75625,93.2,3.2,94.9,3.2,0,0,1.3,CS5152
GA,Wrens city,27120,76.1,37.3,32,64.7,0,0.5,2.5,CS5153
GA,Wrightsville city,25190,67.5,29.2,42,55.6,0.4,0.4,1.1,CS5154
GA,Yatesville town,46250,81,7,78.4,18.8,0.3,0.3,0.3,CS5155
GA,Young Harris city,28125,90.3,36.3,92.4,2.8,0.4,1.3,4,CS5156
GA,Zebulon city,37107,81,30.8,59.5,35.2,1.9,0.9,1.4,CS5157
HI,Ahuimanu CDP,93341,96.2,11,22,0.7,0.1,31.1,9.4,CS5158
HI,Aiea CDP,95428,93.8,5.9,15,0.7,0.1,57.7,6.2,CS5159
HI,Ainaloa CDP,27402,85.5,32.3,28.8,0.6,0.5,14.4,19,CS5160
HI,Anahola CDP,55313,89.2,16.9,17.3,0.2,0.6,6.4,9.8,CS5161
HI,Captain Cook CDP,66276,94.5,8.8,31.4,0.7,0.4,27.6,9.5,CS5162
HI,Discovery Harbour CDP,36071,96.5,25.7,56.6,0.7,0.5,10.1,8.2,CS5163
HI,East Honolulu CDP,112548,96.7,3.9,27.3,0.5,0.1,49.1,4.1,CS5164
HI,Eden Roc CDP,17798,78.5,55.6,46.2,0.4,0.5,4.5,16.2,CS5165
HI,Eleele CDP,68750,85.5,11.2,12.1,0.3,0.2,58.2,8.9,CS5166
HI,Ewa Beach CDP,77674,80.7,14,8.4,0.7,0.1,50.6,11.1,CS5167
HI,Ewa Gentry CDP,89633,92.9,3.1,16.2,3.6,0.2,44.3,12.3,CS5168
HI,Ewa Villages CDP,89673,81.8,2.7,4.7,0.6,0,59.5,11.2,CS5169
HI,Fern Acres CDP,38836,89.1,20,39.3,0.6,0.4,6.6,15.8,CS5170
HI,Fern Forest CDP,18281,91.2,48,49.3,0.8,0.9,7.8,13.5,CS5171
HI,Haena CDP,45464,98.1,12.1,66.8,0,0.2,1.6,4.4,CS5172
HI,Haiku-Pauwela CDP,64467,93.9,10.2,59.4,0.3,0.5,8.1,11,CS5173
HI,Halaula CDP,54750,87.9,13.2,15.4,0.6,0,31.1,20.7,CS5174
HI,Halawa CDP,91779,92.9,9.7,12.3,1.5,0.1,51.6,7.5,CS5175
HI,Haleiwa CDP,63844,86,10.8,24.7,0.4,0.3,33.6,11.2,CS5176
HI,Haliimaile CDP,59526,80.2,8.2,20.5,0.1,0.1,35,11.7,CS5177
HI,Hana CDP,41029,94.6,11.1,22.2,0.1,0.1,5,9.8,CS5178
HI,Hanalei CDP,41563,89.3,13.8,60.4,0,0.7,13.6,6.4,CS5179
HI,Hanamaulu CDP,60568,82.3,8.3,9.1,0.4,0.1,57,8,CS5180
HI,Hanapepe CDP,75000,97.1,4.4,16.8,0.1,0.3,43.4,8.9,CS5181
HI,Hauula CDP,71827,92,14,18.8,0.5,0.2,6.1,8.5,CS5182
HI,Hawaiian Acres CDP,28021,88.4,20.1,46.4,1.3,1,7.3,14.6,CS5183
HI,Hawaiian Beaches CDP,31250,95.5,32.1,31.8,0.8,0.7,14.9,17.8,CS5184
HI,Hawaiian Ocean View CDP,34128,90.5,47.5,48.7,0.6,0.9,5.5,10.6,CS5185
HI,Hawaiian Paradise Park CDP,47343,91.3,27.7,34.7,0.8,0.6,18.8,14.9,CS5186
HI,Hawi CDP,63354,89.4,18.1,22.6,0.1,0.3,18.8,17.9,CS5187
HI,Heeia CDP,108108,94.3,1.1,24.3,0.3,0.1,39.8,5.9,CS5188
HI,Hickam Housing CDP,70538,100,7.1,65.9,9.5,0.6,6.2,13.6,CS5189
HI,Hilo CDP,53939,92.5,18.3,17.6,0.5,0.3,34.3,10.4,CS5190
HI,Holualoa CDP,69444,92.4,11.7,55,0.7,0.4,16.3,9.5,CS5191
HI,Honalo CDP,54792,88.1,14.5,35.2,0.3,0.5,17,20.3,CS5192
HI,Honaunau-Napoopoo CDP,56250,90.4,9.7,39.5,0.3,0.2,15.1,14.4,CS5193
HI,Honokaa CDP,54167,85.3,12,24.2,0.2,0.1,35.9,11.5,CS5194
HI,Honomu CDP,42917,94.1,19.2,31,0.4,0,27.9,12.4,CS5195
HI,Iroquois Point CDP,82596,96.1,8.3,42.4,6.5,0.5,11.4,14.9,CS5196
HI,Kaaawa CDP,74297,92.8,6.7,34.4,0.9,0.2,6.4,10.4,CS5197
HI,Kaanapali CDP,88438,97.5,6.7,85.1,0,0.1,6.4,5.4,CS5198
HI,Kahaluu CDP,82308,91.8,9.8,22.9,0.6,0.4,20.7,10.6,CS5199
HI,Kahaluu-Keauhou CDP,71953,89.9,28,63.5,0.6,0.4,10.2,9,CS5200
HI,Kahuku CDP,74167,86.9,15.3,8.6,0.4,0.1,25.3,6.7,CS5201
HI,Kahului CDP,66625,85.5,11.5,9.9,0.4,0.3,53.1,9.4,CS5202
HI,Kailua CDP (Hawaii County),56596,87.6,15.4,36.7,0.4,0.6,18.1,12.2,CS5203
HI,Kailua CDP (Honolulu County),105316,95.6,5.1,44,0.6,0.2,20.3,6.5,CS5204
HI,Kalaheo CDP,79684,95.1,9.7,43.7,0.4,0.5,25.5,10.7,CS5205
HI,Kalaoa CDP,66948,93.8,13.5,44.2,0.5,0.3,13.1,11,CS5206
HI,Kalihiwai CDP,61429,97.6,9.2,67.8,0.9,0,4,6.5,CS5207
HI,Kaneohe CDP,84626,94.6,6.3,20.5,0.6,0.3,36.9,8.4,CS5208
HI,Kaneohe Station CDP,49466,99.9,7.6,74,7.3,1.1,3.9,19.9,CS5209
HI,Kapaa CDP,63609,93.9,13.3,32.8,0.4,0.5,27.2,11.4,CS5210
HI,Kapaau CDP,53611,91.7,18.3,21.3,0.2,0.3,31.5,15.8,CS5211
HI,Kapolei CDP,91706,93.4,4,13,1.8,0.2,34.4,11.2,CS5212
HI,Kaumakani CDP,60938,76.6,10.4,4.5,0,0.1,66.9,5.3,CS5213
HI,Kaunakakai CDP,42206,94.9,12.5,15.4,0.5,0.3,22.2,5.9,CS5214
HI,Kawela Bay CDP,57250,99,14.5,75.8,0.6,0.3,3.9,7,CS5215
HI,Keaau CDP,51429,85.1,13.5,12.4,0.2,0.2,52,8.7,CS5216
HI,Kealakekua CDP,59609,89.9,15.3,26.7,0.2,1,30.8,10.6,CS5217
HI,Kekaha CDP,55833,86.9,5.4,18.6,0.6,0.2,31.5,11.2,CS5218
HI,Keokea CDP,71319,93.4,11.5,29,0.7,0.6,8.7,8.4,CS5219
HI,Kihei CDP,64747,93,9.6,50.7,1.2,0.6,21.7,10.5,CS5220
HI,Kilauea CDP,71000,91.6,10.2,54.9,0.5,0.5,21.3,9.3,CS5221
HI,Koloa CDP,47404,85.5,14.3,23,0.5,0.6,39,11.6,CS5222
HI,Ko Olina CDP,97463,98,2.4,69.6,3.5,0.3,13,7.7,CS5223
HI,Kualapuu CDP,43750,89.1,16.5,8.4,0.3,0,13.8,6.5,CS5224
HI,Kukuihaele CDP,46250,93.9,25.2,31.8,0,0.6,14,8.3,CS5225
HI,Kula CDP,78393,98,12.8,56.3,0.5,0.4,16.3,7.8,CS5226
HI,Kurtistown CDP,51908,91.1,4.7,19.5,0.2,0.3,35.8,10,CS5227
HI,Lahaina CDP,67362,89.4,9.3,27.2,0.5,0.3,39.5,11.5,CS5228
HI,Laie CDP,85769,96.4,13.1,29.4,0.8,0.2,13.7,5.2,CS5229
HI,Lanai City CDP,54023,86.7,9.4,14,0.2,0.1,56,8.2,CS5230
HI,Launiupoko CDP,124167,99.5,3.4,72.6,0.9,0.3,7.8,10.4,CS5231
HI,Laupahoehoe CDP,55417,95.9,3.6,36.5,0.3,0.2,24.4,18.6,CS5232
HI,Lawai CDP,75594,96.5,7,39.9,0.3,0.6,24.4,12.7,CS5233
HI,Leilani Estates CDP,32011,89.1,28.5,63.4,1.3,1.8,6.1,9.8,CS5234
HI,Lihue CDP,59640,91.2,14.3,22.2,0.4,0.2,44.4,8.5,CS5235
HI,Maalaea CDP,71094,98.6,6.7,78.1,2,0.3,9.7,3.7,CS5236
HI,Mahinahina CDP,95288,92.1,3.2,68.1,0.5,0.2,16.7,7.7,CS5237
HI,Maili CDP,60448,87.9,23.1,14.5,2.3,0.2,17.8,17.7,CS5238
HI,Makaha CDP,47245,84,26.3,17.8,1.4,0.4,12.5,18.4,CS5239
HI,Makaha Valley CDP,48077,94.7,29.3,31.8,4.2,0.4,7.5,19.7,CS5240
HI,Makakilo CDP,105765,94.8,4.3,23.8,2.9,0.2,30.6,13.3,CS5241
HI,Makawao CDP,61023,94.9,15.3,38.2,0.4,0.6,15.9,15.1,CS5242
HI,Makena CDP,44688,97.8,6.1,70.7,0,0,10.1,7.1,CS5243
HI,Maunaloa CDP,25179,87.9,44.4,13.8,0.5,0.8,8.2,15.2,CS5244
HI,Maunawili CDP,131635,99.1,1.8,36,0.1,0.2,33.1,4.3,CS5245
HI,Mililani Mauka CDP,103424,96.9,1.8,17.4,2.3,0.2,50.3,8,CS5246
HI,Mililani Town CDP,92019,96.1,5,17.1,2,0.3,46.2,9.3,CS5247
HI,Mokuleia CDP,68359,97.9,10.5,64.9,1.7,0.4,9.4,9.7,CS5248
HI,Mountain View CDP,48317,97.6,34.9,24.9,0.4,0.7,16,20.4,CS5249
HI,Naalehu CDP,40568,79.3,17.6,10.5,0.1,0,40.9,8.2,CS5250
HI,Nanakuli CDP,63453,89.6,16.6,4.8,0.8,0.2,9.2,11.8,CS5251
HI,Nanawale Estates CDP,29115,82.4,29.8,36.1,1.3,2.2,15.8,15.3,CS5252
HI,Napili-Honokowai CDP,51644,91,5.9,52.9,0.9,0.4,19.9,14.1,CS5253
HI,Ocean Pointe CDP,107767,95.5,3.8,34.6,7.4,0.6,30.5,10.7,CS5254
HI,Olinda CDP,72692,96.9,18.9,71.1,0.2,1.3,7.6,7.4,CS5255
HI,Olowalu CDP,75417,95,5.6,43.8,0,1.3,13.8,1.3,CS5256
HI,Omao CDP,60887,91.4,11,42.1,0.4,0.5,26.1,13.1,CS5257
HI,Orchidlands Estates CDP,49545,88.5,25.6,32,0.8,0.6,21.7,14.7,CS5258
HI,Paauilo CDP,47500,80.6,9.9,15.3,0,0.2,36,15.8,CS5259
HI,Pahala CDP,50125,84.7,18.1,10,0.7,0.2,42.9,10.7,CS5260
HI,Pahoa CDP,31442,93.2,26.2,14.9,0.4,1.5,43.5,6.6,CS5261
HI,Paia CDP,71250,93.2,7.5,42.7,0.2,0.6,23.8,10.2,CS5262
HI,Pakala Village CDP,58594,79.2,7.3,17.7,0,0.3,32,9.5,CS5263
HI,Papaikou CDP,44896,88.7,8.8,19.7,0.1,0.1,41,12.2,CS5264
HI,Paukaa CDP,56250,94.2,11.7,40.9,0,0.7,32.7,6.4,CS5265
HI,Pearl City CDP,85384,92.4,5.7,16,2.9,0.3,53.2,8.2,CS5266
HI,Pepeekeo CDP,33438,89.3,28.5,12.9,0.7,0.3,43,12.6,CS5267
HI,Poipu CDP,70234,97.2,8.9,65.9,0.2,0.2,13.7,8.2,CS5268
HI,Princeville CDP,70086,96.9,15.8,80.4,0.4,0.8,5.4,5.7,CS5269
HI,Puako CDP,73750,98.1,8.8,73.2,0.4,0.4,11.1,4,CS5270
HI,Puhi CDP,72500,92.1,7.4,18.3,0.2,0.1,54.6,7.5,CS5271
HI,Pukalani CDP,79515,94.5,8.3,33.2,0.4,0.3,23.9,12,CS5272
HI,Punaluu CDP,52000,93,7.3,35.7,1.5,0.3,8.6,6.7,CS5273
HI,Pupukea CDP,106272,96.3,6.4,59.5,0.6,0.4,12,8.8,CS5274
